Overall Parent NGB,Overall Year,Financial Year,Membership Bucket Def,Revenue Bucket Def,Staff Bucket Def,CEO Salary,Membership Bucket,Membership Size,Revenue Bucket,Staff Bucket,Staff Size,Total Expenses,Total Revenue
US Bobsled & Skeleton Federation,2018,Jul 1 - Jun 30,,,,205260,4,164,3,3,16,3569432,4035656
US Ski and Snowboard Association,2018,May 1 - Apr 30,,,,528429,2,34500,1,1,228,42843411,43867166
USA Hockey,2018,Sept 1 - Aug 31,,,,369527,1,637744,1,1,133,47911905,53288638
US Figure Skating,2018,Jul 1 - Jun 30,,,,363036,1,170000,1,2,58,23225838,26918443
US Luge Association,2018,Aug 1 - July 31,,,,133894,4,722,3,3,21,3466759,3404516
US Speed Skating,2018,Jun 1 - May 31,,,,227846,4,2300,3,3,19,5108952,5359268
USA Curling,2018,Jul 1 - Jun 30,,,,110401,3,22500,3,3,12,3086110,3106165
US Biathlon Association,2018,Jul 1 - Jun 30,,,,140000,4,900,3,3,10,3264943,2970268
US Soccer Federation,2018,Apr 1 - Mar 31,,,,836517,1,4729000,1,1,1487,109192197,107453931
US Figure Skating,2019,Jul 1 - Jun 30,"> 100,000",> $20M,30-100,403206,1,192000,1,2,62,21990503,24026729
USA Judo,2018,Jan 1 - Dec 31,,,,114039,3,10000,3,4,10,1946557,1973528
USA Basketball,2018,Oct 1 - Sept 30,,,,440905,,,2,3,28,12049104,15276667
USA Baseball,2018,Nov 1 - Oct 31,,,,294842,,,2,1,144,16340625,19623483
USA Racquetball,2019,Jan 1 - Dec 31,"10,000-30,000",< $2M,< 10,92615,3,12000,4,4,5,1406833,1345295
USA Climbing,2019,Sept 1 - Aug 31,"10,000-30,000",$2M-$10M,30-Oct,68307,3,15200,3,3,12,4261045,4327059
USA Diving,2018,Jan 1 - Dec 31,,,,37500,4,9700,3,3,16,3261696,2541286
USA Basketball,2019,Oct 1 - Sept 30,,$10M-$20M,30-Oct,469439,,,2,3,29,15926578,14973815
USA Archery,2018,Jan 1 - Dec 31,,,,161743,3,20000,3,3,18,4284537,4127034
USA Roller Sports,2019,Jan 1 - Dec 31,"< 10,000",< $2M,30-Oct,72080,4,7500,4,3,11,1348173,1228195
USA Water Pold,2019,Jan 1 - Dec 31,"30,000-100,000",$10M-$20M,> 100,478251,2,50000,2,1,330,12777651,14948827
USA Water Polo,2018,Jan 1 - Dec 31,,,,493622,2,45000,2,1,296,11392825,11674108
US Squash,2018,Jul 1 - Jun 30,,,,242837,3,19300,2,2,36,5827679,4256920
USA Skateboarding,2018,Jan 1 - Dec 31,,,,,,,,,,,
USA Weightlifting,2019,Jan 1 - Dec 31,"10,000-30,000",$2M-$10M,30-Oct,164568,3,27000,3,3,15,7614522,7921753
USA Team Handball,2018,Jul 1 - Jun 30,,,,113854,4,800,4,4,4,639966,611965
USA Artistic Swimming,2018,Jan 1 - Dec 31,,< $2M,< 10,5820,4,6000,4,4,7,1599130,1709853
USA Cycling,2018,Jan 1 - Dec 31,,,,425190,1,100000,2,2,72,16081663,14286305
USA Field Hockey,2019,Jan 1 - Dec 31,"30,000-100,000",$2M-$10M,30-100,201517,2,30307,3,2,31,9469722,9479952
USA Golf,2019,Jan 1 - Dec 31,,< $2M,,,,,4,4,,72958,268789
USA Surfing,2019,Jan 1 - Dec 31,"< 10,000",< $2M,,79182,4,6548,4,,,851081,805867
USA Track & Field,2019,Jan 1 - Dec 31,"> 100,000",> $20M,,,1,130000,1,1,,37236290,35809490
USA Hockey,2019,Sept 1 - Aug 31,"> 100,000",> $20M,> 100,393496,1,646120,1,1,135,46778650,43446732
National Wheelchair Basketball Association,2019,,,< $2M,,,,,4,,,891768,1037162
US Tennis Association,2019,Jan 1 - Dec 31,"> 100,000",> $20M,> 100,1353232,1,654627,1,1,936,494186000,506958000
USA Gymnastics,2018,Jan 1 - Dec 31,,,,15753,1,190000,1,2,80,,
USA Shooting,2019,Jan 1 - Dec 31,"< 10,000",$2M-$10M,30-100,207288,4,5436,3,2,31,6723590,6700824
USA Pentathlon,2019,Jan 1 - Dec 31,"< 10,000",< $2M,,,4,1000,4,,,698677,685974
National Wheelchair Basketball Association,2018,,,,,,,2932,4,,,1077619,902591
US Association of Blind Athletes,2018,Jan 1 - Dec 31,,,,,4,8000,4,,,1005419,1293493
USA Table Tennis,2018,Jan 1 - Dec 31,,,,195532,4,7471,3,3,11,3539062,3506399
USA Skateboarding,2019,Jan 1 - Dec 31,,,,,,,,,,,
US Ski and Snowboard Association,2019,May 1 - Apr 30,"30,000-100,000",> $20M,> 100,317029,2,35500,1,1,249,43041276,47502031
USA Bobsled & Skeleton,2019,Jul 1 - Jun 30,"< 10,000",$2M-$10M,30-Oct,212087,4,164,3,3,24,3539634,3168479
USA Gymnastics,2019,Jan 1 - Dec 31,"> 100,000",,30-100,387849,1,209000,1,2,61,,
USA Water Skiing,2018,Jan 1 - Dec 31,,,,46578,3,15000,4,3,11,1887924,1735139
USA Fencings,2019,Aug 1 - July 31,"30,000-100,000",$10M-$20M,30-Oct,161889,2,35000,2,3,22,10717405,11294563
